,month,sum(wb)
0,12,1.6001905023802868e+16
1,1,9602702691649592.0
2,6,1.6197650951616568e+16
3,3,1.0969625381026032e+16
4,5,1.0299105699349608e+16
5,9,2270947229561531.0
6,4,9178096424012716.0
7,8,3.3056341685163612e+16
8,7,2.617256560956217e+16
9,11,1.0717748698491152e+16
10,2,1.2967982763793978e+16
