,rgid,sum(wb)
0,1468,20360965729317.0
1,1135,0.0
2,1,2.6037812461751816e+16
3,2763,0.0
4,1399,1.3126232774391586e+17
5,1028,1800.0
6,2735,0.0
7,2688,142981843.0
8,4,32848800.0
9,1408,0.0
10,2,114082454202701.0
11,99,0.0
12,0,88356597576.0
