,ruid,sum(rb)
256,22461,3825982616.0
257,14824,26913025.0
258,29673,17011264943358.0
259,31423,2655934806578.0
260,69790,892125626647276.0
261,38430,34432729660645.0
262,31798,82295757995774.0
263,52016,16925263052899.0
264,55959,6636589384629.0
265,24376,14454017942018.0
266,12744,398151983.0
267,26986,3874922242356.0
268,96649,53049020863796.0
269,24724,680218308213375.0
270,30261,33379492251375.0
271,41713,35573572747358.0
272,9193,352574510093378.0
273,24943,1509373758140.0
274,94443,250206683369.0
275,103445,12514950317.0
276,34831,812901778230.0
277,103482,1058829965072.0
278,15742,10564747725635.0
279,30339,207519672.0
280,7026,0.0
281,103233,42601847.0
282,19016,83313333302445.0
283,39877,559463925985.0
284,32299,4708157251.0
285,85620,37922068484773.0
286,36408,75187864212087.0
287,11906,50324624394245.0
288,37579,15447266041982.0
289,40418,3481119132234.0
290,94899,18984860306945.0
291,47854,767280366467.0
292,91056,3712714365158.0
293,58006,210154545871.0
294,23310,1999673598.0
295,55720,26337824368448.0
296,72490,4640024557128.0
297,9341,65515598.0
298,80271,3996004533698.0
299,54650,2043396741032.0
300,2042,54027389984.0
301,95477,477997736382.0
302,79057,70136457016001.0
303,85653,3670032950.0
304,2774,19115802245.0
305,84565,1294784775199.0
306,72811,268435456.0
307,32031,25866443698546.0
308,53062,2002848569882.0
309,58228,4188233626.0
310,86367,45249478447040.0
311,29788,114949289779.0
312,14534,92601226849.0
313,2791,32046062367.0
314,89873,203734408757.0
315,100210,23147804546.0
316,21283,2766004962.0
317,20658,1323185744168.0
318,8166,24625081982077.0
319,82542,125283496454748.0
320,77872,18658847696473.0
321,37474,3852511337441.0
322,23476,1726309496627.0
323,24426,7270962855468.0
324,82745,5517030886300.0
325,5478,2204139920971.0
326,94753,336009533478.0
327,44635,8663652785.0
328,4481,4956882017443.0
329,47282,29881580058258.0
330,12035,332643370738.0
331,31282,13886035086234.0
332,8619,80.0
333,2192,5475922360.0
334,43309,966015667569.0
335,8516,25940451907.0
336,28274,915284509136.0
337,100050,7394296288.0
338,93890,6408883696895.0
339,25769,120305410255.0
340,4032,703525837.0
341,28234,4037086342369.0
342,75568,6542159589660.0
343,90900,80791296692496.0
344,102682,1898599075265.0
345,94350,3489829760721.0
346,28237,11164036031574.0
347,24393,8105096094511.0
348,71952,606800335217.0
349,10604,99925321.0
350,13655,4167998008812.0
351,71190,98297927280858.0
352,91055,50018421140377.0
353,75516,116743687552879.0
354,79588,322642819659.0
355,50761,4317643181729.0
356,66582,5124182472101.0
357,106657,1657832512180.0
358,81542,9162665268732.0
359,90862,31105074102.0
360,89612,75437491650.0
361,102042,49063069549665.0
362,105080,6198980474485.0
363,67051,92008228380399.0
364,51895,63690936371934.0
365,55853,317731255018409.0
366,73854,23469388893726.0
367,28814,302616870079.0
368,8751,54531757519.0
369,50955,224754060364.0
370,74109,550877436.0
371,93382,155953449.0
372,31959,12798654.0
373,63477,6487649614120.0
374,73068,13837239775730.0
375,9725,75995858252631.0
376,59506,154357395564.0
377,9001,396900181223447.0
378,6932,49718991436535.0
379,58926,52893796504.0
380,27634,2576615267.0
381,66665,2940064058.0
382,75207,187809257.0
383,91114,382904000833.0
384,9399,5186285749888.0
385,71075,162327128312257.0
386,17268,65570005164773.0
387,71099,26527934998132.0
388,62665,6038305810.0
389,85431,62697761499445.0
390,58088,40007581487.0
391,81694,16961654504312.0
392,99918,4090824881284.0
393,27872,93413060064.0
394,71096,6935218357.0
395,94446,571619014.0
396,18481,0.0
397,75824,2602380659.0
398,101792,7765073856503.0
399,23732,919792525.0
400,9625,3813324584.0
401,50205,3118465024.0
402,35138,9419242.0
403,59789,41565539862109.0
404,98880,970315817851.0
405,57682,11838453822167.0
406,80156,98035007297424.0
407,34788,101458877312299.0
408,74479,10073016922974.0
409,10161,876641787.0
410,80321,16432409876652.0
411,22986,569393147107.0
412,41524,8512992658510.0
413,1,2.605759467850764e+16
414,29820,17492169414627.0
415,9471,159952382763226.0
416,82218,205080102924956.0
417,61072,27432967349.0
418,50333,103918818679746.0
419,89153,38629762568950.0
420,98152,2950120807238.0
421,85654,5014628200763.0
422,68801,10667803913342.0
423,70165,32639991747559.0
