,year,month,day,sum(wb),sum(rb),count(1)
93,2017,9,3,674009658975650.0,498440745033180.0,4784229
94,2017,6,2,904066633736056.0,1269605535855699.0,9686407
95,2017,2,4,657448246257485.0,1888457123761170.0,72926089
96,2017,3,24,351658427545997.0,1523216622377338.0,9016270
97,2017,8,4,2041407355855821.0,1858999248643522.0,10526481
98,2017,7,15,1054726321649539.0,1052764379246803.0,7791770
99,2017,1,3,199209741014749.0,683599965015883.0,3281009
100,2017,4,6,279556867695765.0,1518696215269652.0,5911605
101,2017,7,16,447553070315670.0,429232632388723.0,4694209
102,2017,1,4,257629134438255.0,649042065578116.0,4119233
103,2017,5,13,334859813868156.0,530125991098425.0,3328142
104,2017,4,9,302316121805939.0,881642733174945.0,2412196
105,2017,8,16,923254939174684.0,847842365797088.0,6935748
106,2016,12,23,326098256021551.0,905021389500234.0,5696499
107,2017,7,14,997533270158049.0,1063204394821405.0,11686371
108,2017,1,22,704653403752337.0,1508272814077348.0,6374851
109,2017,5,15,218091603396718.0,442234921673015.0,4508283
110,2017,6,10,209269291076402.0,248878106459673.0,3466690
111,2017,2,11,363550860520584.0,1394045744377789.0,5284839
112,2017,2,28,521994218347699.0,2468660672183217.0,5298811
113,2017,5,18,216901075514611.0,488699284720318.0,3380050
114,2017,4,26,691144924957247.0,936704166152449.0,4601565
115,2017,7,28,1747702724628073.0,2245078133805059.0,57637351
116,2016,12,17,350145037672625.0,1075588636147810.0,13348379
117,2017,1,1,261585911932104.0,562150746888653.0,3099889
118,2017,7,24,1382128560204251.0,1455075025305913.0,21194452
119,2017,2,17,624557739658181.0,2587528714652215.0,5362849
120,2017,3,13,446866578839260.0,2594629933714151.0,5230795
121,2017,3,21,433782235383737.0,2097076746102343.0,8238869
122,2017,4,22,331149993248770.0,1086662867524345.0,3630266
123,2017,2,9,535852022208031.0,1557884686966106.0,5755489
124,2017,8,30,1042260194928795.0,903759830913283.0,6618236
125,2017,1,31,157730680605240.0,1146663406410740.0,53622397
126,2017,5,29,472116519320672.0,1009530747126421.0,6454022
127,2017,2,20,357346772920649.0,2426599462337055.0,5143567
128,2017,4,16,250536937348557.0,779460688703899.0,2623952
129,2017,7,5,821503348471607.0,838027529197933.0,10858940
130,2016,12,24,282229589577159.0,1147276453700211.0,6554785
131,2017,7,13,490605961896432.0,616725109872027.0,8144359
132,2017,1,24,523800272214780.0,1260689194723476.0,6628975
133,2017,6,26,790287657482911.0,702530004153692.0,2861343
134,2017,1,11,269787861617484.0,500805884836868.0,3233882
135,2017,8,13,210053358405435.0,402579129094107.0,3894791
136,2016,12,30,265475584841873.0,673682113875285.0,2795869
137,2016,12,12,469750621086571.0,845765008224475.0,4973032
138,2017,8,23,910664892183706.0,755820024963774.0,20824792
139,2017,6,6,139668227224536.0,509313279923346.0,3516226
140,2016,11,26,708712689387862.0,712576992924103.0,3546138
141,2016,12,19,389113967114250.0,1108378941305621.0,6467899
142,2017,4,1,140869889518334.0,865120798116606.0,2537138
143,2017,1,25,486072351026233.0,1150803291622787.0,6965360
144,2017,1,20,586483418945234.0,656068118283009.0,5552726
145,2017,6,29,703280141748368.0,750180831095704.0,22676027
146,2017,2,14,835110604878756.0,3395933200826047.0,10466656
147,2016,12,18,361291470094665.0,1221084930485537.0,8483613
148,2017,4,10,203913990320417.0,2126916426067268.0,4719668
149,2017,5,30,1085401535467518.0,944523336152663.0,13211778
150,2016,11,22,935295486426145.0,885701679141056.0,4521803
151,2017,6,24,1041684808919786.0,844464660619357.0,5335261
152,2017,5,16,243479958396947.0,590124055112709.0,4328508
153,2017,8,14,457416200785434.0,567051014694863.0,5976154
154,2017,1,15,99594149469940.0,252239990671667.0,59630726
155,2017,2,7,378957095371270.0,1346713335360484.0,5406036
156,2016,12,13,431689857345295.0,1051960427084716.0,5647429
157,2017,6,16,492426393737610.0,621649232217448.0,4020875
158,2017,6,15,238550953209048.0,474661877328915.0,5188077
159,2017,4,23,347896189648541.0,423811453344051.0,2826061
160,2016,12,15,453346331576109.0,470278186373923.0,3595204
161,2017,3,11,327531181149871.0,2815649847236195.0,4055293
162,2017,8,19,873384028039460.0,544534654291947.0,2252251
163,2017,1,30,149254118001844.0,895631999059072.0,57900908
164,2017,6,12,223055798962052.0,357881264435675.0,3537144
165,2016,12,10,341096697154946.0,616577029866559.0,5074928
166,2017,5,24,393242500791645.0,662353189387805.0,5955168
167,2017,4,24,719587817750645.0,780526284119820.0,6072160
168,2017,4,21,426631505219957.0,2277379868849507.0,6963267
169,2017,1,7,200371328523256.0,552517050298469.0,3892029
170,2016,12,11,399710288058596.0,532815437529914.0,2396079
171,2017,5,10,377515264818639.0,591467901625084.0,5169246
172,2017,1,29,179786967305395.0,1437079005863327.0,16703135
173,2017,5,14,236092942582108.0,386899447831947.0,3002891
174,2017,2,13,628207857507229.0,2281891317911752.0,7619875
175,2017,1,27,178112640550532.0,1038846407976373.0,4765295
176,2017,3,15,310824500754566.0,2711710859712529.0,5609714
177,2017,9,1,908110290335046.0,673231042266670.0,2812551
178,2017,5,21,129573887749012.0,248841990528820.0,1190744
