,ruid,count
411,22986,2507
412,41524,64531
413,1,204755624
414,29820,199875
415,9471,5661948
416,82218,10062957
417,61072,9076
418,50333,176151
419,89153,102569
420,98152,628804
421,85654,32696
422,68801,16396
423,70165,71000
424,18118,739409
425,57247,16804
426,2138,359836
427,104067,478
428,36386,503323
429,98267,318958
430,99878,102
431,37316,406835
432,13063,50050885
433,72800,15619
434,103471,5442
435,28212,6841
436,95480,741
437,47828,29
438,22014,27451311
439,78321,139656
440,14355,364669
441,17399,639610
442,86432,228343
443,90404,2204025
444,30131,192616
445,3453,15812
446,9283,58562
447,50719,5970
448,95110,71102
449,102863,1
450,93032,94739
451,98328,5339
452,7616,26100
453,101665,358
454,42553,318
455,10948,4
456,17241,1269
457,93106,179
458,97746,41
459,5082,157355
460,41277,122461
461,98272,111441
462,59442,354642
463,41398,48515
464,12780,17158
465,7500,36460
466,80256,6
467,105099,5
468,80368,242539
469,24576,1887498
470,51171,28573
471,94664,12476
472,106829,738
473,58653,2
474,57856,5
475,15151,152738
476,18401,102
477,85801,853
478,82008,19
479,89872,2632
480,104946,2
481,48328,2793
482,17058,7
483,13314,8573
484,16745,94
485,71150,148105
486,79777,3
487,59297,352
488,34835,971
489,33175,235
490,4570,1291
491,70556,66131
492,100866,7
493,102004,1121
494,2481,136
495,23914,430
496,12850,440
497,11512,782
498,90150,7496
499,21251,11
500,3,4
501,81154,242959
502,32589,35068
503,18982,17484
504,50008,183
505,16507,3988
506,25128,37
507,51015,62
508,71149,57541
509,23401,116848
510,95077,8972
511,86142,33632
512,88973,1901
513,99585,97
514,45379,6202
515,55620,82735
516,55446,121728
517,27518,5522
518,23262,73640
519,99288,21566
520,29235,51
521,50376,17
522,78720,25
523,83687,81
524,52008,6
525,13456,1
526,106619,1
527,1144,63972
528,81874,199914
529,49627,57087
530,13633,177
531,36363,506217
532,77891,15882
533,104337,110
534,63402,77207
535,14793,22951
536,37688,60786
537,27596,51929
538,35415,605
539,16552,76
540,101717,65
541,69871,76
542,7009,5
543,93356,55
544,51703,2
545,70409,77813
546,54590,721512
547,14799,52438246
548,9414,66258
549,7411,993
550,49069,157833
551,24439,714493
552,101292,3031
553,102884,825930
554,21535,10400
555,90155,9431
556,37505,83666
557,27910,51
558,78314,18
559,103858,29
560,93872,1
561,12650,9308624
562,81554,1372
563,10579,6130
564,43874,6330
565,47348,225453
566,70667,7046
567,94033,89000
568,95982,59053
569,68716,1754745
570,35206,261316
571,102441,4714
572,15419,83344
573,58490,248793
574,101615,5010
575,105544,6
576,98813,666
577,93841,379
578,78253,6096
579,90376,8817754
580,98739,325
581,2177,110102
582,35452,15
583,88686,111
584,104068,7
585,34086,25873
586,78176,844
587,57236,279861
588,30824,59
589,103465,75503
590,39402,1195
591,12296,91833
592,12134,297
593,11659,16
594,97870,45
595,63219,71698
596,71463,403678
597,74470,207026
598,12531,150775
599,11045,9804
600,30058,20021
601,93673,2894
602,31490,17032
603,8359,270
604,77898,243
605,43954,147574
606,49725,109784
607,80364,672120
608,8440,4115
609,79409,5813
610,23306,4185
611,4839,2983
612,43876,46765
613,71482,744
614,82541,22
615,101785,408
616,24232,2
617,34575,28274460
618,52020,292838
619,9481,938886
620,24944,1622466
621,14225,8830
622,14143,1190
623,97748,22550
624,55166,29243
625,30274,574321
626,34955,188981
627,68503,736
628,72023,86566
629,35433,344142
630,31082,30440
631,88688,861
632,102607,138
633,27557,140
634,40387,12
635,8273,852075
636,32197,1398776
637,11792,240300
638,23836,874449
639,72964,323404
640,100127,58
641,28096,14972
642,63115,758900
643,80854,7385
644,39578,87521
645,38649,344
646,83667,2896390
647,71022,32679
648,50013,5922
649,105564,18
650,44355,3210
651,103843,10
652,24850,5484
653,22095,1
654,8563,31481
655,82340,105674
656,93014,21015
657,103008,13549
658,69939,131
659,95385,8
660,38513,35252
661,88708,90
662,14038,53310
663,80494,618833
664,38617,63031
665,31567,23841
666,57170,51529
667,8912,94528
668,9655,23046
669,18052,111612
670,57880,282266
671,74794,384
672,28595,10
673,56671,6
674,74914,598754
675,57781,18485
676,1856,59463
677,78938,14697
678,96640,14757
679,50698,551122
680,41951,852
681,102392,673
682,13624,28177
683,35964,181
684,54845,18
685,28677,434
686,9327,2
687,35059,4
688,61765,1873843
689,60058,80702
690,79860,432247
691,54649,88176
692,81144,7880
693,103031,54008956
694,9596,272054
695,47865,23672
696,81861,695
697,97840,45498
698,102316,70
699,57622,11380
700,101823,81
701,83400,15881
702,80058,2
703,32627,82846
704,60856,63022
705,68621,1371949
706,28489,31089
707,25097,611164
708,34806,3459
709,51826,15104
710,101189,24
711,56107,48674
712,16187,13
713,42009,13762
714,94439,101
715,24941,1230765
716,37238,467156
717,13714,1288
718,29556,137679
719,102881,15998
720,74299,1053
721,32761,147222
722,83509,43
723,74445,10
724,31137,139
725,21773,94141
726,71734,9253
727,38346,520958
728,35378,161546
729,21117,2130
730,77890,1204
731,7291,646053
732,92854,96
733,80026,11092
734,72717,89555
735,10330,108
736,6414,314
737,101600,19938
738,5896,2224
739,91477,107743
740,37340,291
741,13478,3
742,101668,620
743,3943,100
744,39293,2
745,81022,19816518
746,60888,211405
747,56359,6523722
748,57748,430023
749,38616,6734
750,91879,9472
751,59453,23587
752,9576,190815
753,100334,1466
754,77525,112901
755,39953,2
756,58541,8
757,12147,3731742
758,28895,197782
759,35289,176248
760,11875,3423403
761,2346,260744
762,27524,109511
763,99634,9742
764,49660,28
765,32224,5670
766,60131,898583
767,72946,105166
768,72293,5066
769,92343,564566
770,42186,78541
771,71996,84036
772,7693,64222
773,83629,227
774,93275,2231
775,96343,991
776,73920,199
777,49296,6330
778,28007,27736
779,2524,6944
780,24332,523579
781,24817,1452979
782,29992,4562
783,93125,2519
784,94239,9961
785,96465,1571
786,22046,54320
787,105075,36247
788,43961,158
789,49959,12
790,2278,6338
791,8996,1822
792,42574,3
793,95446,71174
794,81124,34830
795,51667,84123
796,101997,21066
797,56581,9784
798,95420,537
799,89488,3
800,57970,31626888
801,95758,11987
802,49612,121257
803,50244,300085
804,72027,58501
805,70434,1503
806,49999,5932
807,16395,5385
808,78437,162
809,80295,2508
810,103252,43
811,57219,47675
812,11191,188857
813,88974,184596
814,58197,131489
815,9066,609889
816,103092,94666
817,103371,11
818,88874,197
819,38433,14313
820,86309,24
821,30798,2
822,55399,100
823,74000,82
824,49573,2
825,39587,82270
826,90448,123949
827,72060,37790
828,71074,273295
829,56794,6983
830,9668,151
831,104285,29
832,54608,4126
833,42535,170
834,70998,2898196
835,55246,32893
836,48641,4769
837,6314,47245
838,84368,59210
839,25240,112
840,26017,25169
841,56216,18860
842,56115,193930
843,14014,3096
844,81383,620013
845,32708,44920
846,78320,81
847,97520,3512
848,103466,56490
849,25312,1341461
850,4884,1804887
851,14494,20212
852,30059,7876
853,27791,15871
854,51799,36778
855,3471,31
856,25318,8
857,24976,101
858,16062,295
