,fid,count,max(csize)
243,614039239,140656,407713375
244,614157460,140640,727839104
245,614049509,140629,715128355
246,614058986,140627,988249691
247,614049885,140621,581222109
248,614036941,140601,421319945
249,614032083,140597,118216043
250,614041535,140568,451974643
251,614036932,140544,465543671
252,614056530,140526,988611929
253,614051901,140521,624176902
254,614046412,140506,1108915514
255,614033934,140427,133574838
256,614100777,140422,612204153
257,614041448,140418,686818710
258,614036426,140410,365194490
259,614040094,140400,737503626
260,614049976,140390,718409675
261,614051271,140356,354187266
262,614055945,140339,458008630
263,614055927,140333,418530682
264,614051919,140321,642748632
265,614056481,140318,753216227
266,614049858,140315,671010337
267,614044251,140309,556004531
268,614037482,140290,435144942
269,614071247,140276,1254546220
270,614056303,140239,528125788
271,614049960,140234,707611752
272,614042166,140233,681111232
273,614056525,140220,638617007
274,614056402,140218,750292615
275,614037878,140197,355299334
276,614041511,140196,630550786
277,614056424,140186,514556592
278,614049879,140146,738883860
279,614041453,140142,554419740
280,614041494,140140,434084629
281,614051943,140134,684878496
282,614049973,140124,1009427823
283,614044056,140115,427065334
284,614041572,140090,728754167
285,614060593,140063,461654364
286,614058378,140040,637227120
287,614165530,140030,593324470
288,614051853,140005,916021467
289,614050194,139953,437299041
290,614036410,139918,458168116
291,614131706,139884,812060857
292,614070871,139883,1026736078
293,614130427,139883,818287737
294,614041500,139845,639148461
295,614055678,139842,743019831
296,614041490,139826,259371561
297,614051223,139784,456053485
298,614051186,139739,182840213
299,614050084,139737,500746607
300,614041477,139736,672030321
301,614055109,139729,705969168
302,614036934,139706,413644622
303,614041447,139699,588245930
304,614039377,139675,551820099
305,614042568,139650,332871619
306,614055960,139639,653171071
307,614055177,139639,745047204
308,614036729,139634,664321779
309,457069876,139632,12700447
310,614046329,139631,726003539
311,614041543,139624,696679414
312,614060581,139560,736838503
313,614040065,139552,392347433
314,614040710,139525,504032450
315,614049922,139516,472991119
316,614036922,139462,101259286
317,614036467,139458,328473606
318,614055929,139454,725910677
319,614056092,139448,634868414
320,614042411,139381,436629848
321,614056119,139375,396010358
322,614049904,139363,726343163
323,614054274,139350,704119636
324,614044531,139346,168694695
325,614049892,139337,255374732
326,614045209,139324,405248345
327,614108167,139319,302334021
328,614050011,139293,447881661
329,614041744,139289,587027258
330,614042445,139229,748180155
331,614040001,139223,407671156
332,614053928,139169,542134497
333,614041774,139157,722126719
334,614040916,139091,681620924
335,614050535,139052,737380151
336,614055017,139045,737941444
337,614053561,139042,751974968
338,614050909,139000,723344936
339,614384491,138983,5259391808
340,614113404,138961,486914747
341,614041041,138952,641163687
342,614055752,138940,643853043
343,614060536,138911,309376654
344,614055336,138908,712727332
345,614048530,138895,727942064
346,614049974,138882,544245358
347,614377095,138876,5478550358
348,614049212,138862,769751394
349,614036485,138844,559198834
350,614049958,138827,643348094
351,614054627,138825,499950179
352,614127331,138824,528060204
353,614051731,138808,627249112
354,614045608,138788,668437332
355,614391629,138787,6676942921
356,614042896,138772,445758536
357,614050059,138754,724020408
358,614367871,138750,2159352421
359,614041496,138736,193301884
360,614377102,138720,4318332448
361,614381739,138716,5817120719
362,614043488,138712,712095381
363,614036935,138711,215525111
364,614397117,138696,7563644098
365,614054272,138694,742608243
366,614381730,138652,6582851262
367,614063309,138637,639001398
368,614055950,138625,645239555
369,614367870,138621,2467509662
370,614058615,138615,980645714
371,614381741,138610,4746316046
372,614051691,138608,639162633
373,614386309,138608,5612117840
374,614377101,138600,3458597201
375,614381732,138569,4755842203
376,614388496,138567,6316285468
377,614050732,138557,519024508
378,614381735,138541,6447694429
379,614047181,138530,772706185
380,614054952,138528,687868478
381,614044807,138449,666485047
382,614049992,138440,389428408
383,614056165,138392,982215244
384,457066765,138388,12808558
385,16986712,138386,960790335
386,614060802,138367,927665019
387,614036931,138328,43466130
388,614048020,138289,655703182
389,614051306,138266,854648066
390,614367869,138259,2479344809
391,614056426,138244,747570947
392,614035414,138242,459424299
393,614056201,138208,1014925746
394,614055733,138199,1005976195
395,614061823,138173,945842711
396,614056247,138172,545300979
397,614045652,138170,604507173
398,614372412,138153,1009232480
399,614037641,138143,462073112
400,614066967,138091,2925445402
401,457068560,138070,12533523
402,614044331,138068,236629693
403,614036925,138051,357907200
404,614044203,138037,442171756
405,614044632,138030,254457809
406,614060590,138021,1854038022
407,614059849,138010,930826053
408,614058614,138004,1376085443
409,614056155,137987,736223243
410,614050015,137961,1460956620
411,614051697,137900,741385599
412,614056735,137886,917054243
413,614050050,137874,720499654
414,614086057,137853,4253593176
415,614056208,137853,757036629
416,614052911,137846,731100890
417,614048187,137845,731987865
418,614059751,137834,1272761456
419,614073843,137830,3902306659
420,614074579,137827,4390036065
421,614050868,137827,563348906
422,614055753,137815,433510573
423,614036926,137793,340307318
424,614051437,137792,733477644
425,614060662,137781,3407540038
426,614036938,137756,125413420
427,614043599,137740,121773612
428,614053712,137738,724151739
429,614093635,137735,3564086844
430,614050599,137725,1435246290
431,614049722,137724,739014861
432,614053899,137705,536868071
433,614049340,137703,682474208
434,614048973,137689,721546775
435,614047219,137689,443475160
436,614066673,137661,1476875493
437,614051291,137634,219652239
438,614049953,137634,414942160
439,614062566,137610,1012703190
440,614053057,137606,429501227
441,614386313,137587,6682480805
442,614041472,137580,268365818
443,614055144,137563,911560092
444,614040497,137561,538898917
445,614072648,137560,2062980865
446,612474210,137554,21157888
447,614054090,137533,568571838
448,614057765,137529,1590223435
449,614049846,137499,1742893421
450,614035061,137486,230085169
451,614067097,137476,1954336282
452,614041512,137457,1022156668
453,614059507,137439,877135305
454,614050013,137412,636587959
455,614048571,137393,727792458
456,614083454,137386,3775103117
457,614050290,137369,1319117723
458,614053015,137355,549150373
459,614058044,137346,967417696
460,614041431,137343,38900609
461,614049932,137332,331527478
462,614050071,137317,1513401528
463,614076702,137305,3582970194
464,614056111,137299,131177996
465,614056224,137290,945542345
466,614067101,137274,1916072269
467,614061966,137265,1794952928
468,614048834,137255,733901964
469,614055160,137244,3007701772
470,614055910,137228,391654703
471,614054587,137226,2093438898
472,614064097,137196,1166842079
473,614051049,137169,634838421
474,614055925,137160,753497577
475,614052027,137124,673946767
476,614041462,137096,423574412
477,614041560,137039,368868582
478,614039899,137024,935369615
479,614055908,136998,773221653
480,614055979,136994,803318631
481,614103047,136986,2592727689
482,614053311,136969,1657340083
483,614050087,136921,130984585
484,614048708,136904,1430204703
485,614047583,136844,554444908
486,614041484,136841,610164630
487,614060588,136820,762296105
488,614054957,136779,608091029
489,614060557,136755,982398600
490,614116144,136734,293784302
491,614055877,136721,969793819
492,614046595,136711,506426942
493,614043246,136704,1438282251
494,614053190,136703,548628828
495,614050656,136671,966214835
496,614055942,136668,1878715120
497,614050039,136524,731731814
498,614131700,136523,1613586761
499,614065907,136523,1775624038
500,614049866,136519,717677982
501,614050072,136518,265264786
502,614064112,136437,3021597944
503,614041488,136412,190120889
504,614036906,136410,330797436
505,614042657,136383,672921991
506,614050028,136366,446474263
507,614041513,136315,479549425
508,614041563,136311,839803661
509,614041526,136288,493839681
510,614048114,136281,269681773
511,614043123,136237,492245188
512,614049882,136203,796386278
513,614041545,136193,768767400
514,614046355,136168,251061368
515,614041504,136152,819550173
516,614041531,136081,250776133
517,614056336,136018,498295569
518,614055941,136008,533411134
519,614042341,135955,101868956
520,614041509,135952,335215263
521,614055906,135854,178890140
522,614055456,135849,536209123
523,614063360,135848,588140248
524,614041540,135776,289658326
525,614041466,135764,555913409
526,614041451,135748,606668274
527,614064530,135744,860676637
528,614040095,135742,388526965
529,614041454,135734,710848676
530,614041445,135727,616584300
531,614055928,135706,516242209
532,614055353,135697,598294168
533,614051546,135666,963704630
534,614056163,135645,122130139
535,614085588,135636,293824954
536,614049857,135619,845619105
537,614060561,135559,568220678
538,614055473,135526,593434267
539,614055519,135490,555215119
540,614055930,135482,1052361907
541,614040018,135478,609123470
542,614085596,135433,479686395
543,614060558,135419,342654473
544,614041534,135366,550857696
545,614036915,135340,489360023
546,614040036,135332,590706562
547,614041554,135315,504803213
548,614041455,135286,576139953
549,614056469,135279,614080243
550,614067254,135248,515349160
551,614066346,135241,607926760
552,614039204,135237,576929795
553,614060512,135133,594178681
554,614085673,135086,767437392
555,614041556,135067,137800196
556,614050049,135056,236585775
557,614041446,135030,618494231
558,614041493,134993,603952866
559,457068273,134986,14693002
560,614060408,134947,619823032
561,614056413,134924,570702406
562,614060573,134906,861568609
563,614055193,134859,571241106
564,614042887,134854,685137969
565,614041938,134835,487740851
566,614060575,134762,829390888
567,614055982,134756,610232107
568,614040354,134731,562089073
569,614040978,134723,374377140
570,614048742,134720,126937285
571,614047576,134712,600028090
572,614051983,134711,602765854
573,614055921,134704,423092843
574,614054848,134704,452461049
575,614078916,134657,615630824
576,614041461,134643,855228677
577,614055951,134607,643471109
578,614051475,134561,593314180
579,614036928,134555,576090230
580,614055288,134546,638976270
581,614050044,134525,513529922
582,614049962,134485,635945538
583,614036939,134485,520117102
584,614042691,134477,440266094
585,614050634,134475,501028470
586,614047176,134443,856528857
587,614056051,134439,411327084
588,614051441,134386,232231833
589,614055329,134382,503084517
590,614053172,134375,848888581
591,614060568,134344,368651558
592,614043835,134305,642038256
593,614045626,134289,857840432
594,614040083,134270,454057474
595,614049920,134261,570229735
596,614056162,134253,633206134
597,614036929,134245,420107358
598,614055389,134221,470778861
599,614043272,134171,589814645
600,614041539,134150,324216409
601,614041516,134120,348192022
602,614041974,134115,587499242
603,614041503,134085,492991517
604,614049884,134038,399143416
605,614050247,134032,613477602
606,614042254,134017,520922320
607,614049997,134004,205247663
608,614045195,134001,616979681
609,614056180,133992,815061325
610,614055949,133966,643768721
611,614047674,133956,625144247
612,614054721,133927,627673982
613,614055961,133916,578166912
614,614041467,133901,422607272
615,614056808,133896,638236224
616,614041548,133894,488376563
617,614051086,133889,484214591
618,614053952,133878,466767634
619,614052517,133872,851430097
620,614041517,133849,331610558
621,614066233,133837,575975056
622,614055918,133835,38451058
623,614053787,133828,491578449
624,614035428,133824,489291952
625,614052146,133817,490557126
626,614067095,133815,607698898
627,614041444,133807,585537585
628,614085591,133795,556910052
629,614053401,133788,319400984
630,614041486,133760,204794526
631,614045761,133750,500584857
632,614056217,133749,570920813
633,614042032,133749,475422627
634,614041518,133729,548276954
635,614051511,133726,507432408
636,614060587,133718,531732776
637,614041817,133717,586118967
638,614050003,133712,379768797
639,614041520,133712,547947081
640,614056097,133711,813925992
641,614054196,133710,390466729
642,614061022,133703,655051449
643,614041064,133703,451392788
644,614041492,133690,619139388
645,614050086,133683,143462733
646,614049952,133681,446321410
647,614056134,133662,583959219
648,614049644,133648,844810871
649,614057995,133636,115238185
650,614067102,133635,478736029
651,614055406,133632,64916993
652,614057863,133631,870531657
653,614060602,133613,619525830
654,614041485,133595,220006035
655,614041515,133592,504844313
656,614056335,133577,512163773
657,614049867,133573,537765109
658,614139735,133573,636508493
659,614038813,133540,422432197
660,614040459,133495,418254661
661,614054842,133483,817580098
662,614049996,133462,704666225
663,614038282,133452,574883874
664,614041275,133451,379158570
665,614038212,133444,394790064
666,614043874,133439,593982657
667,614041958,133418,383067734
668,614051905,133415,633181541
669,614041532,133393,240581947
670,614049967,133281,281401732
671,614057844,133271,592811002
672,614056110,133241,347181311
673,614041872,133227,89265490
674,614057145,133221,592492976
675,614036942,133217,306941879
676,614049918,133197,865101724
677,614050600,133188,847204702
678,614050007,133160,568935808
679,614054630,133135,675686515
680,614055912,133125,200273698
681,614058198,133091,645304719
682,614050233,133087,437012788
683,614062329,133066,673482514
684,614048635,133063,952434310
685,614049964,133000,226545971
686,614050051,132998,626231344
687,614059815,132988,964514917
688,614039229,132987,653281478
689,614040093,132975,428677474
690,457068751,132974,14171744
691,614085599,132964,91241763
692,614055874,132954,656352130
693,614050978,132946,832779033
694,614040070,132946,787454940
695,614055904,132941,640662566
696,614041443,132897,552134090
697,614042328,132867,581680001
698,614043696,132859,433061959
699,614054745,132791,541954645
700,614055909,132753,142623566
701,614054428,132747,632720997
702,614050016,132714,597479143
703,614043592,132708,631200128
704,614041942,132701,445967005
705,614039454,132687,221320543
706,614049959,132686,859277852
707,614051543,132666,603710665
708,614038679,132638,306033465
709,614043051,132616,199669020
710,614036916,132610,497908146
711,614055777,132604,826853004
712,614055885,132583,618047649
713,614063312,132553,527508365
714,614056094,132527,885139368
715,614055940,132510,669681098
716,614055922,132510,867875649
717,614085586,132501,583654861
718,614055946,132415,374126692
719,614060570,132359,958246206
720,614049853,132356,436839707
721,614045346,132349,651709771
722,614048164,132341,543678477
723,614056096,132340,663904784
724,614041407,132308,305621583
725,614046714,132239,671343055
726,614053162,132228,521494701
727,614043353,132197,296246454
728,614038257,132170,364854030
729,614041546,132126,310702628
730,614091290,132124,536258122
731,614053402,132102,296299632
732,614054197,132097,876453879
733,614040244,132087,229696267
734,614037080,132057,137158822
